,xg,npxg,xg_assist,sca,passes_pct,progressive_passes,saves,tackles,interceptions,y
56,0.13999999999999999,0.13999999999999999,0.1,1.4,87.1,3.3,50.0,1.6363636363636365,1.3636363636363635,1.0
57,0.06999999999999999,0.06999999999999999,0.05,1.6,87.5,3.7,80.0,1.7272727272727273,1.3636363636363635,0.2
58,0.31,0.31,0.27999999999999997,3.4,88.7,5.0,70.6,1.2727272727272727,1.5454545454545454,0.6
59,0.12,0.12,0.05,1.3,84.0,2.4,50.0,1.6363636363636365,0.8181818181818182,0.0
60,0.08,0.08,0.030000000000000006,1.5,86.9,1.9,100.0,1.3636363636363635,1.1818181818181819,0.1
61,0.1,0.03,0.05,1.0,88.1,3.7,25.0,1.0909090909090908,1.3636363636363635,0.3
62,0.19,0.19,0.15,2.1,88.4,3.6,71.4,1.7272727272727273,1.1818181818181819,0.3
63,0.039999999999999994,0.039999999999999994,0.09,2.3,91.0,3.1,83.3,1.9090909090909092,1.4545454545454546,0.8
64,0.020000000000000007,0.020000000000000007,0.06,1.7,91.4,5.0,100.0,1.0,1.5454545454545454,0.9
65,0.21000000000000002,0.21000000000000002,0.19,2.6,90.4,3.7,75.0,1.3636363636363635,0.8181818181818182,1.4
66,0.11000000000000001,0.11000000000000001,0.08,1.1,88.4,1.4,50.0,1.6363636363636365,1.2727272727272727,0.7
67,0.1,0.1,0.07999999999999999,1.7,86.2,1.9,60.0,1.9090909090909092,1.2727272727272727,0.8
68,0.3,0.3,0.2,1.7,84.6,2.6,54.5,1.6363636363636365,2.0,1.7
69,0.12999999999999998,0.12999999999999998,0.09,0.9,89.9,1.6,50.0,1.0909090909090908,1.2727272727272727,0.4
70,0.1,0.1,0.10999999999999999,1.3,88.3,2.1,100.0,1.7272727272727273,1.1818181818181819,0.5
71,0.07000000000000002,0.06999999999999999,0.09,1.6,82.2,2.0,100.0,0.9090909090909091,0.8181818181818182,1.5
72,0.20999999999999996,0.20999999999999996,0.030000000000000006,1.3,88.4,2.5,42.9,1.1818181818181819,1.7272727272727273,0.2
73,0.07,0.07,0.06999999999999999,1.3,91.1,2.8,80.0,2.0,1.7272727272727273,0.9
74,0.06000000000000001,0.06000000000000001,0.05,1.3,85.5,2.8,100.0,0.7272727272727273,1.8181818181818181,0.2
75,0.15999999999999998,0.15999999999999998,0.05000000000000001,2.3,86.4,3.8,75.0,2.090909090909091,1.9090909090909092,0.3
76,0.12000000000000002,0.12000000000000002,0.05,1.6,86.7,2.6,0.0,2.272727272727273,1.2727272727272727,0.4
77,0.09,0.09000000000000001,0.06999999999999999,1.6,90.9,2.8,80.0,2.6363636363636362,1.0909090909090908,1.0
78,0.2,0.2,0.14,2.2,91.6,3.2,66.7,1.3636363636363635,0.9090909090909091,0.5
79,0.06999999999999999,0.06999999999999999,0.04,1.2,89.6,1.9,50.0,1.2727272727272727,1.0,0.3
80,0.08,0.08,0.08,1.1,87.5,2.9,83.3,0.7272727272727273,1.0,0.1
81,0.06000000000000001,0.06000000000000001,0.04,2.7,88.4,2.9,50.0,1.4545454545454546,1.7272727272727273,0.5
82,0.25,0.25,0.25,2.2,90.2,4.6,37.5,0.9090909090909091,1.3636363636363635,0.9
83,0.1,0.019999999999999997,0.03,0.8,90.2,2.4,50.0,1.3636363636363635,1.3636363636363635,0.1
84,0.09000000000000001,0.09000000000000001,0.06,0.8,83.8,1.2,60.0,1.0,1.1818181818181819,0.2
85,0.11000000000000001,0.10999999999999999,0.16999999999999998,2.7,87.7,2.9,66.7,0.8181818181818182,0.9090909090909091,1.6
86,0.029999999999999992,0.029999999999999992,0.04,0.8,84.1,1.8,25.0,1.0909090909090908,1.1818181818181819,0.4
87,0.09,0.09,0.039999999999999994,1.6,87.0,2.4,80.0,1.2727272727272727,1.4545454545454546,0.1
88,0.049999999999999996,0.049999999999999996,0.06,0.8,85.6,3.6,100.0,1.9090909090909092,1.2727272727272727,0.2
89,0.16999999999999998,0.16999999999999998,0.11000000000000001,2.7,89.1,3.0,63.6,1.7272727272727273,1.7272727272727273,1.1
90,0.12000000000000002,0.12000000000000002,0.15,1.2,86.7,2.7,75.0,2.0,1.6363636363636365,0.6
91,0.12999999999999998,0.13,0.019999999999999997,1.4,89.2,1.5,75.0,2.090909090909091,1.5454545454545454,1.0
92,0.13999999999999999,0.13999999999999999,0.12,3.9,88.5,4.1,87.5,2.4545454545454546,1.9090909090909092,0.6
93,0.29999999999999993,0.3,0.24,3.0,91.6,4.5,92.9,1.6363636363636365,1.6363636363636365,1.1
94,0.26,0.17,0.16999999999999998,2.6,87.5,4.6,55.6,1.1818181818181819,1.0,1.1
95,0.06999999999999999,0.06999999999999999,0.05,1.7,87.3,2.9,100.0,1.1818181818181819,1.0,0.2
96,0.4,0.4,0.21000000000000002,2.6,89.3,2.5,60.0,1.3636363636363635,1.2727272727272727,0.3
97,0.1,0.1,0.08,2.8,87.1,6.3,87.5,1.3636363636363635,2.0,0.5
98,0.030000000000000006,0.030000000000000006,0.07,2.9,90.4,3.0,100.0,2.272727272727273,1.5454545454545454,0.6
99,0.13000000000000003,0.13000000000000003,0.1,3.3,87.8,3.8,92.3,1.0909090909090908,1.1818181818181819,0.9
100,0.25,0.25,0.08,1.8,82.3,2.3,50.0,1.2727272727272727,0.8181818181818182,0.2
101,0.09999999999999998,0.1,0.07,3.4,87.5,3.6,77.8,1.6363636363636365,1.2727272727272727,1.3
102,0.16999999999999998,0.16999999999999998,0.27999999999999997,3.0,89.7,3.9,70.0,1.8181818181818181,1.4545454545454546,1.3
103,0.25,0.25,0.15999999999999998,3.3,90.0,5.6,83.3,1.9090909090909092,1.2727272727272727,0.5
104,0.11000000000000001,0.11000000000000001,0.16,1.7,88.0,3.8,66.7,1.0,0.9090909090909091,0.5
105,0.06999999999999999,0.06999999999999999,0.05,2.3,91.3,3.7,0.0,0.5454545454545454,1.1818181818181819,0.2
106,0.12,0.12,0.15,1.5,86.1,1.5,66.7,1.3636363636363635,1.1818181818181819,0.8
107,0.12,0.12,0.09000000000000001,1.8,89.9,2.4,25.0,1.5454545454545454,1.0,0.1
108,0.21000000000000002,0.21000000000000002,0.18000000000000002,2.3,90.5,2.9,44.4,1.2727272727272727,2.090909090909091,0.3
109,0.07,0.07,0.029999999999999992,1.7,88.5,2.9,100.0,1.6363636363636365,1.3636363636363635,0.9
110,0.06999999999999998,0.06999999999999999,0.09,3.1,89.9,4.2,100.0,1.4545454545454546,1.9090909090909092,1.6
111,0.14,0.14,0.22000000000000003,1.1,89.8,3.3,40.0,1.2727272727272727,1.6363636363636365,1.3
112,0.06000000000000001,0.06000000000000001,0.09,1.1,86.9,3.2,60.0,1.4545454545454546,1.2727272727272727,1.0
113,0.05,0.05,0.05,1.5,87.8,2.3,66.7,1.0909090909090908,0.7272727272727273,0.3
